Variable,VIF
const,47.78500766623862
RLFMAC,3.2449226529909256
RLFMES,4.30022031424622
RLFMIC,5.1665656436611815
RLFPOS,4.917228110115987
EXPOS,3.967475105616447
SLPFRM,4.992975322799313
VEGASS,2.7486050078521815
VEGWB,4.05292023029791
VEGSG,4.541810932124787
VEGML,3.4445201389686884
GWLVL,3.2821907549328633
GWMNR,2.8165855173442407
PARGEN,2.8143400688895444
PARCMP,2.4509487397585596
PARWTH,2.3393281667451586
RCKLEV,39.65788568291351
SPRGEN,4.56284784060392
SPRCMP,2.9789977691192555
LANDUS,1.7013507924662756
ERTYP,34.50610676491768
ERINT,13.053486589657616
DSTSRC,16.615568118391078
ADINFO,1.6533620226755583
MOISTR,3.0286916802503576
COLHT,4.646760977700334
COLTYP,4.718476962204374
COLDEG,5.181566962582928
COLSHD,2.6292291476195904
COLSAT,6.374443407070208
COL1DOM,2.035962455691279
COL1HUE,3.0871714182426984
COL2SHD,6.027264618866063
COL2DOM,3.0158526842132045
GRSFLD,4.7395635763002995
GRSADD,3.6740074564903353
GRVDEG,5.417653701686395
GRVCMP,9.067173402566157
STRHMG,5.215432457770031
STRADD,3.8349012298715466
STRUCT,1.8333971789780505
DENCMP,6.3417013764849965
DENINT,5.170591812200396
HCLINT,4.885125141012776
ROTWOD,17.95076073867561
ROTBSH,17.256994008374413
ROTHRB,7.354532608268833
ROTSZE,3.6764292447161506
ROTABD,4.076306446729152
BRDFRM,3.9271397144572786
BRDTRN,5.318082830764359
Elements,3.047623939306047
ADDMRF,1.9168121837001528
ELCOCL,3.7490147501100406
GRSCMP,8.158895421515949
SOIL_ID,3.0258027317125666
HCLP,2.9767558613227485
SPRDEPR,2.9487627480141523
NHOR,2.495578147078022
HORNMB,4.275909000368063
HORTOP,12.813487672695276
HORBOT,12.664552995058196
HORPWR,1.6822256265309765
NLAER,2.9034362289832965
NSMPL,2.5615021042116397
SMPTOP,22.590314361791886
SMPBOT,21.29621166416172
LOSA,1.754881388326088
SIO2,5.577884041222167
R2O3,2.310130859800255
AL2O3,2.814774061686218
FE2O3,2.484093468723747
CAO,3.277000234374295
MGO,2.270634610255919
TIO2,2.8033136356571258
MNO,1.3917660067873532
P2O5,1.1125619701786154
SO3,1.4415625700506416
K2O,1.1883463397620275
NA2O,2.348641723551632
CORG,6.179698767337996
ORGMAT,1.4989393022672137
NTOT,4.677742142918169
CTON,1.6542651029978983
FEOX,2.2464245610977716
ALOX,1.5363738636738837
PMOB,3.805895968930589
KMOB,3.809506180365605
CECST,2.8334718567656334
CECBS,2.871853640470869
EXCA,3.352705084028586
EXMG,1.7903940462934005
EXNA,1.8954727545872865
EXSAT,2.565940917685796
PHH2O,3.1987371857287727
PHSLT,3.2925664149416476
EXAL,1.4718689868574373
EXH,1.6051454695332243
HA,1.5858140341795506
TEXTSTNS,2.3211170040332525
TEXSCM,4.873885500016412
TEXTSAF,5.107056399747629
TEXTSIC,4.219127417571466
TEXTSIFM,2.9044696043454583
TEXTSIM,2.320419722211812
TEXTSIF,3.109616673468609
TEXTCL,4.479284365010971
TEXTPHC,6.88103051171465
DVOL,13.913428812227052
POROS,12.539931191351847
AIRDRY,1.9950634469829203
WR1,182.01660758405075
WR10,121.26875822404887
WR100,23.40706765052257
WR1500,14.388000945608317
WR33,53.185248586419995
